Game Name,System Full,Units(m),Publisher,Developer,Release Date
Sea Hunt,Atari 2600,0,Unknown,Froggo,1/1/1978
Space Shuttle: A Journey Into Space,Atari 2600,0,Activision,Activision,1/1/1983
Strawberry Shortcake: Musical Match-ups,Atari 2600,0,Parker Bros.,Parker Bros,1/1/1983
Air Raid,Atari 2600,0.77,Men-A-Vision,Men-A-Vision,1/1/1982
Texas Chainsaw Massacre,Atari 2600,0,Unknown,Wizard Video Games,14/03/1983
Moon Patrol,Atari 2600,1.12,Atari,Atari,1/1/1983
Z-Tack,Atari 2600,0,Bomb,Bomb,1/1/1983
Atlantis,Atari 2600,1.27,Imagic,Imagic,1/1/1982
Anteater,Atari 2600,0,Stern,Stern,1/1/1982
China Syndrome,Atari 2600,0,Spectravision,Spectravision,1/1/1982
Demon Attack,Atari 2600,2.13,Imagic,Imagic,1/1/1982
Fireball,Atari 2600,0.33,Unknown,Starpath Corp.,1/1/1982
Name This Game,Atari 2600,0,US Games,US Games,1/1/1984
Crossbow,Atari 2600,0,Atari,Atari,1/1/1987
Trick Shot,Atari 2600,0,Imagic,Imagic,1/1/1982
Barnstorming,Atari 2600,0.43,Activision,Activision,1/1/1982
Wing War,Atari 2600,0,Activision,Imagic,1/1/1983
Blue Print,Atari 2600,0,CBS Electronics,CBS Electronics,1/1/1983
Concentration,Atari 2600,0,Atari,Atari,1/1/1978
Double Dunk,Atari 2600,0,Atari,Atari,1/1/1989
Front Line,Atari 2600,0.24,Taito,Coleco,1/1/1982
Oscar's Trash Race,Atari 2600,0,Atari,Atari,1/1/1983
International Soccer,Atari 2600,0.19,Mattel Interactive,Mattel,1/1/1982
Ram It,Atari 2600,0,Unknown,Telesys,1/1/1982
Millipede,Atari 2600,0.48,Atari,Atari,1/1/1984
Skeet Shoot,Atari 2600,0,Apollo,Apollo,1/1/1981
Sports Action Pack,Atari 2600,0,Activision,Activision,1/1/1988
Super Baseball,Atari 2600,0.07,Atari,Atari,1/1/1988
Miner 2049er Volume II,Atari 2600,0,Tigervision,Tigervision,1/6/1983
Glacier Patrol,Atari 2600,0,Telegames,Sunrise Software Inc.,1/1/1983
Pete Rose Baseball,Atari 2600,0,Absolute Entertainment,Absolute Entertainment,1/3/1988
Killer Satellites,Atari 2600,0,Unknown,Starpath Corp.,1/1/1983
Rescue Terra I,Atari 2600,0,Unknown,Venture Vision,1/1/1982
Smurfs Save The Day,Atari 2600,0,Coleco,Coleco,1/1/1983
Star Ship,Atari 2600,0,Atari,Atari,1/10/1977
Survival Run,Atari 2600,0,Milton Bradley,Milton Bradley,1/1/1983
Gibb?ri:sh',Atari 2600,0,Unknown,EA,
Mario Bros.,Atari 2600,1.59,Atari,Atari,1/10/1983
Video Life,Atari 2600,0,"CommaVid, Inc.","CommaVid, Inc.",1/1/1982
Race: Auto Racing,Atari 2600,0,Sears,Telegames,1/1/1977
Buck Rogers: Planet of Zoom,Atari 2600,0,Sega,Sega,1/1/1983
Crackpots,Atari 2600,0,Activision,Activision,16/05/1983
Enduro,Atari 2600,0.87,Activision,Activision,1/1/1983
Stargunner,Atari 2600,0,Unknown,Telesys,1/1/1982
Pitfall II: Lost Caverns,Atari 2600,1.31,Activision,Activision,16/09/1983
Tapper,Atari 2600,0,Sega,Sega,1/1/1983
Summer Games,Atari 2600,0,Epyx,Epyx,1/1/1987
Wizard of Wor,Atari 2600,0,CBS Electronics,CBS Electronics,1/1/1982
Airlock,Atari 2600,0.39,Data Age,Data Age,1/1/1982
KLAX,Atari 2600,0.15,Atari,Atari,1/1/1990
Centipede,Atari 2600,1.36,Atari,Atari,1/1/1982
Death Trap,Atari 2600,0.17,Avalon Interactive,Avalon Hill,1/1/1983
Fatal Run,Atari 2600,0,Atari,Atari,1/1/1990
Mouse Trap,Atari 2600,0.4,Coleco,Coleco,1/1/1982
Gyruss,Atari 2600,0,Parker Bros.,Parker Bros,1/1/1984
Pooyan,Atari 2600,0,Konami,Konami,1/1/1982
Laser Blast,Atari 2600,0.39,Activision,Activision,1/3/1981
Rock 'N Roll Escape,Atari 2600,0,Imagic,Imagic,1/1/1983
SoundX,Atari 2600,0,Unknown,Ed Federmeyer,1/1/1994
Dig Dug,Atari 2600,1.64,Atari,Atari,1/1/1983
Forest,Atari 2600,0,Unknown,Sancho,1/1/1983
Obelix,Atari 2600,0,Atari,Atari,1/1/1986
Hunt & Score,Atari 2600,0,Atari,Atari,1/1/1980
Rabbit Transit,Atari 2600,0,Unknown,Starpath Corp.,1/1/1983
Masters of the Universe: Power of He-Man,Atari 2600,0,Mattel Interactive,Mattel,1/1/1983
Sentinel,Atari 2600,0,Atari,Atari,1/1/1990
Spacemaster X-7,Atari 2600,0,20th Century Fox Video Games,Sirius Software,1/1/1983
Sub Scan,Atari 2600,0,Sega,Sega,1/1/1982
Basketball,Atari 2600,0,Atari,Atari,1/1/1978
Title Match Pro Wrestling,Atari 2600,0,Absolute Entertainment,Absolute Entertainment,1/1/1987
Alpha Beam with Ernie,Atari 2600,0,Atari,"Children's Computer Workshop, Inc.",1/1/1983
Gunslinger,Atari 2600,0,Sears,"Telegames, Inc.",1/1/1978
Beamrider,Atari 2600,0.27,Activision,Activision,24/01/1984
Double-Ender: Artillery Duel / Ghost Manor,Atari 2600,0,Xonox,Xonox,1/1/1983
Codebreaker,Atari 2600,0,Atari,Atari,1/1/1978
