Game Name,System Full,Units(m),Publisher,Developer,Release Date
Gekitou! Crushgear Turbo,PlayStation,0,Bandai,Bandai,25/07/2002
Skydiving Extreme,PlayStation,0.08,Natsume,Banpresto,9/8/2001
Acid,PlayStation,0,Taki,Taki,8/7/1999
Chessmaster II,PlayStation,0.15,Mindscape,Starsphere Interactive,31/05/1999
TNN Motor Sports Hardcore 4x4,PlayStation,1.31,ASC Games,Gremlin Interactive,30/11/1996
Sports Superbike 2,PlayStation,0,Mud Duck Productions,Bethesda Softworks,6/10/2002
Oddworld: Abe's Exoddus,PlayStation,0.99,GT Interactive,Oddworld Inhabitans,17/11/1998
Kids Station: Doki Doki ??orimono Daibouken,PlayStation,0,Sunsoft,SunSoft,13/12/2001
Spec Ops: Airborne Commando,PlayStation,2.07,Gotham Games,Big Grub,31/10/2002
Block & Switch,PlayStation,0,Serene,Serene,24/01/2002
Summon Night,PlayStation,0,Banpresto,Flight-Plan,6/1/2000
Cool Boarders 2001,PlayStation,0.41,Sony Computer Entertainment,Idol Minds Digital Entertainment,31/10/2000
Moon,PlayStation,0.18,ASCII Entertainment,Lovedelic,16/10/1997
Virtua Pachi-Slot V,PlayStation,0,Map Japan,Map Japan,2/9/1999
Fuuraiki,PlayStation,0,Fog,FOG (Full On Games),18/01/2001
NHL PowerRink '97,PlayStation,0,Sony Computer Entertainment,SCEI,30/05/1997
Tony Hawk's Pro Skater 3,PlayStation,1.67,Activision,Neversoft,28/10/2001
Bottom of the 9th '97,PlayStation,0.02,Konami,Konami,1/6/1997
Hard Blow,PlayStation,0,Unknown,Electronic Arts Victor,
Ganbare Goemon: Oedo Daikaiten,PlayStation,0,Konami,Now Production,29/03/2001
Persona 2: Eternal Punishment,PlayStation,0.35,Atlus,Atlus Co.,22/12/2000
Ultraman Zearth,PlayStation,0,Tohoku Shinsha,Tohoku Shinsha,20/12/1996
Yamasa Digi Guide: Faust,PlayStation,0,Yamasa Entertainment,Yamasa Entertainment,18/01/2001
To Heart,PlayStation,0.14,Aquaplus,Aquaplus,25/03/1999
Test Drive 4x4,PlayStation,0,Infogrames,Infogrames,1/1/1999
Sentou Kokka Air Land Battle,PlayStation,0.13,Sony Computer Entertainment,Marionette,1/12/1995
Mega Man Legends 2,PlayStation,0,Capcom,Capcom,24/10/2000
Namco Anthology 1,PlayStation,0,Namco,Namco,4/6/1998
Rival Schools: United By Fate,PlayStation,0.52,Capcom,Capcom,30/09/1998
Slotter Mania 7,PlayStation,0,Dorart,Dorart,19/12/2002
MTV Celebrity Deathmatch,PlayStation,0,Gotham Games,Big Ape Productions,21/10/2003
The Puzzle 2,PlayStation,0,Phoenix Games,Axes Art Amuse,1/1/2003
X-Men vs. Street Fighter,PlayStation,0.42,Capcom,Capcom,1/1/1998
Buttsubushi,PlayStation,0,Phoenix Games,Selen,1/1/2003
Silhouette Mirage,PlayStation,0.05,Working Designs,"Treasure Co., Ltd.",31/12/1999
Mary King's Riding Star,PlayStation,0,Midas Interactive Entertainment,Midas Interactive Entertainment,1/1/2000
WipEout 3 Special Edition,PlayStation,0,Sony Computer Entertainment,Psygnosis,14/07/2000
Teitoku no Ketsudan II,PlayStation,0,KOEI,Koei / Inis,23/08/1996
Patriotic Pinball,PlayStation,0,Gotham Games,Wildfire Studios,22/04/2003
Sled Storm,PlayStation,1.62,Electronic Arts,EA Canada,10/8/1999
Capcom Generation 4: Dai 4 Shuu Kokou no Eiyuu,PlayStation,0,Capcom,Capcom,12/11/1998
Action Man: Destruction X,PlayStation,0,3DO,Blitz Games,1/11/2000
Ghost in the Shell,PlayStation,0.1,THQ,Exact,31/10/1997
Shin Megami Tensei: if...,PlayStation,0,Atlus,Atlus Co.,26/12/2002
Cardinal Syn,PlayStation,0.15,989 Studios,Kronos Digital Entertainment,30/06/1998
Junk Brain Diagnosis: Kanako Enomoto,PlayStation,0,Oracion,Unknown,25/03/1999
SuperLite 3in1 Series: Nankuro Shuu,PlayStation,0,Success,Success,7/2/2002
Pac-Man World,PlayStation,1.5,Namco,Namco,30/09/1999
Spin Jam,PlayStation,0.31,Empire Interactive,H2O?Entertainment,24/09/2000
Ai Shogi,PlayStation,0,Soft Bank,Something,22/11/1995
3x3 Eyes: Kyuusei Koushu,PlayStation,0,Xing Entertainment,Xing Entertainment,11/8/1995
Simple 1500 Series Vol. 8: The Solitaire,PlayStation,0,D3 Publisher,Success,19/11/1998
Weltorv Estleia,PlayStation,0,Hudson Soft,Hudson Soft,25/02/1999
Muteki-Oh Tri-Zenon,PlayStation,0,Marvelous Interactive,Marvelous,15/03/2001
Blaster Master: Blasting Again,PlayStation,0.25,Crave Entertainment,SunSoft,6/5/2001
All-Star Tennis 2,PlayStation,0,Ubisoft,Aqua Pacific,18/08/2000
Mahjong Youchien: Tamago Gumi,PlayStation,0,Affect,Affect,12/3/1998
Crash Bash,PlayStation,3.39,Sony Computer Entertainment,Eurocom Entertainment Software,6/11/2000
Simple 1500 Series Vol. 52: The Pro Wrestling 2,PlayStation,0,D3 Publisher,Yuke's,14/12/2000
Looney Tunes: Sheep Raider,PlayStation,0.12,Infogrames,Infogrames,27/09/2001
Golgo 13: Kenenai Guntai,PlayStation,0,Daiki,D'Manga,26/11/1998
Threads of Fate,PlayStation,0.21,Square EA,SquareSoft,14/07/2000
Aqua GT,PlayStation,0,Take-Two Interactive,Take-Two Interactive,26/01/2001
Salary Man Champ: Tatakau Salary Man,PlayStation,0,Success,Success,31/05/2001
Mobile Armor,PlayStation,0,Agetec,Highwaystar,1/1/2002
LSD,PlayStation,0,Asmik Ace Entertainment,OutSide Directors Company,22/10/1998
Dancing Blade II: Tears of Eden,PlayStation,0.03,Konami,Konami Computer Entertainment Tokyo,18/03/1999
Zipangu Jima: Unmei wa Saikoro ga Kimeru!?,PlayStation,0,Human Entertainment,Human Club,7/10/1999
Space Invaders,PlayStation,0,Taito,"Z-Axis, Ltd.",30/09/1999
Art Camion Sugorokuden,PlayStation,0,Affect,Affect,27/04/2000
Power Source: Prince's Trust Disc,PlayStation,0,Sony Computer Entertainment,SCEE,1/7/1997
Lupin Sansei,PlayStation,0,Daiki,Daiki,26/11/1998
Simple Characters 2000 Series Vol. 01: Kidou Senshi Gundam: The Gunjin Shogi,PlayStation,0,Bandai,Amedio,25/10/2001
Wreckin Crew,PlayStation,0.08,Telstar,Quickdraw Developments Ltd.,18/01/1998
Final Fantasy VII International,PlayStation,0.63,Square,SquareSoft,2/10/1997
Kakinoki Shogi II,PlayStation,0,ASCII Entertainment,ASCII Entertainment,26/03/1998
Ready 2 Rumble Boxing: Round 2,PlayStation,0.52,Midway Games,Midway Games,9/11/2000
Auto Destruct,PlayStation,0.08,Electronic Arts,Neurostone,28/02/1998
Digital Glider Airman,PlayStation,0,ASK,ASK Corporation,14/09/1999
Groove Adventure Rave: Yuukyuu no Kizuna,PlayStation,0,Konami,KCEJ,31/01/2002
Big Bass World Championship,PlayStation,0.36,Hot-B,Unknown,27/03/1997
ThunderStrike 2,PlayStation,0.19,Core Design Ltd.,Core Design Ltd.,1/1/1995
Super Match Soccer,PlayStation,0,Acclaim Entertainment,Acclaim,1/8/1998
Jumping Flash!,PlayStation,0.3,Sony Computer Entertainment,Exact,27/04/1995
Tokimeki Memorial Drama Series Vol.1: Nijiiro no Seishun,PlayStation,0,Konami,Konami,10/7/1997
Ballblazer Champions,PlayStation,0.02,LucasArts,Factor 5,31/03/1997
ClockWorks,PlayStation,0,Tokuma Shoten,Tokuma Shoten,26/07/1996
Spectral Force 2,PlayStation,0,Idea Factory,Idea Factory,15/10/1998
Polaris SnoCross,PlayStation,0.16,Vatical Entertainment,Vicarious Visions,29/08/2000
Chicken Run,PlayStation,0.13,Eidos Interactive,Blitz Games,15/11/2000
Oekaki Puzzle 3,PlayStation,0,Success,Success,29/06/2000
Fuuun Gokuu Ninjin,PlayStation,0,Aicom,Aicom,30/08/1996
Star Wars Episode I: The Phantom Menace,PlayStation,1.74,LucasArts,Big Ape Productions,31/08/1999
Aironauts,PlayStation,0,Red Storm Entertainment,Red Lemon Studios,1/8/1999
Uprising X,PlayStation,0.07,3DO,Cyclone Studios,30/11/1998
Simple 1500 Series Vol. 23: The Gateball,PlayStation,0,D3 Publisher,Amedio,9/12/1999
Gegege no Kitarou: Noroi no Nikuto Katachi Tachi,PlayStation,0,Bandai,Bandai,24/01/1997
Zoboomafoo: Leapin' Lemurs!,PlayStation,0.03,Encore,Big Grub,7/10/2001
Looney Tunes Racing,PlayStation,0.29,Infogrames,Circus Freak,13/11/2000
Anastasia,PlayStation,0,Midas Interactive Entertainment,The Code Monkeys,6/4/2001
Soccer Kid,PlayStation,0,Telegames,Krisalis Software,13/12/2003
Die Hard Trilogy,PlayStation,1.54,Fox Interactive,Probe Entertainment Limited,31/08/1996
Simple 1500 Series Vol. 62: The Ski,PlayStation,0,D3 Publisher,Atelier Double,31/05/2001
Dance Dance Revolution 2nd Remix Append Club Mix Vol. 2,PlayStation,0,Konami,KCET,22/12/1999
Captain Tsubasa: Aratanaru Densetsu Joshou,PlayStation,0.09,Konami,Konami,16/05/2002
Marvel vs. Capcom: Clash of Super Heroes,PlayStation,0.78,Capcom,Capcom,27/01/2000
F1 2000,PlayStation,0.25,EA Sports,Visual Sciences,29/02/2000
Arcade Hits: Frisky Tom,PlayStation,0.28,Hamster Corporation,Hamster,25/07/2002
Irem Arcade Classics,PlayStation,0,I'Max,Irem Software Engineering,26/04/1996
Grind Session,PlayStation,0.44,Sony Computer Entertainment,Shaba Games,29/04/2000
Simple 1500 Series Vol. 101: The Sentou,PlayStation,0,D3 Publisher,Max Entertainment,30/01/2003
Sensible Soccer,PlayStation,0,GT Interactive,Krisalis Software,1/1/2002
SuperLite 1500 Series: Slither Link,PlayStation,0,Success,Success,28/06/2001
Nobunaga no Yabou: Zenkokuban,PlayStation,0,KOEI,Koei,22/01/1998
Spot Goes to Hollywood,PlayStation,0.07,Virgin Interactive,Eurocom Entertainment Software,30/11/1996
Assault Suits Valken 2,PlayStation,0,NCS,TamTam,29/07/1999
Home Doctor,PlayStation,0,Success,Success,13/11/1997
Cyber War,PlayStation,0,Coconuts Japan,Coconuts Japan,21/07/1995
Motocross Mania,PlayStation,0.79,Take-Two Interactive,Deibus Studios,9/7/2001
Battle Stations,PlayStation,0.78,Electronic Arts,Realtime Associates,31/03/1997
Simple 1500 Series Hello Kitty Vol. 1: Hello Kitty Bowling,PlayStation,0,D3 Publisher,Tamsoft,30/08/2001
Impact Racing,PlayStation,0.06,Acclaim Entertainment,Funcom,30/09/1996
Houshinengi,PlayStation,0.14,KOEI,Koei / Inis,10/9/1998
J-League Jikkyou Winning Eleven '97,PlayStation,0,Konami,Konami,12/11/1996
Test Drive 6,PlayStation,0.72,Atari,Pitbull Syndicate,10/11/1999
Aztec: The Curse in the Heart of the City of Gold,PlayStation,0,Cryo Interactive,Wanadoo,27/10/2000
Reloaded,PlayStation,0.17,Interplay,Gremlin Interactive,30/11/1996
Rubbish Blazon,PlayStation,0,Pandora Box,Pandora Box,27/04/2000
Project Overkill,PlayStation,0.25,Konami,Konami,31/08/1996
Bishi Bashi Special,PlayStation,0,Konami,KCE Sapporo,7/7/2000
Muscle Ranking - Kinniku Banzuke: Road to Sasuke,PlayStation,0,Konami,Konami,27/04/2000
Tail Concerto,PlayStation,0.03,Atlus,CyberConnect2,31/08/1999
Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PlayStation,0.21,Sony Computer Entertainment,Sugar & Rockets,23/07/1998
Yukie Nakama: Moonlight to Daybreak,PlayStation,0,Antinos Records,Antinos Records,21/06/1996
Bardysh,PlayStation,0,Imadio,Imadio,22/07/1999
RockMan 5: Blues no Wana!?,PlayStation,0,Capcom,Capcom,25/11/1999
Formula Karts: Special Edition,PlayStation,0,Telstar,Manic Media Productions,1/11/1997
Stuart Little 2,PlayStation,0,Sony Computer Entertainment,Magenta Software,17/07/2002
Blue Breaker: Egao no Yakusoku,PlayStation,0,Human Entertainment,Human Club,25/12/1997
London Racer II,PlayStation,0,Davilex,Kiss,14/06/2002
Pocket Digimon World,PlayStation,0,Bandai,Bandai,29/06/2000
Namco Museum Vol.4,PlayStation,0.2,Namco,Namco,30/06/1997
XS Moto,PlayStation,0,XS Games,Bubble Boy Limited,1/3/2003
Nekketsu Oyako,PlayStation,0,TechnoSoft,"TechnoSoft Co., Ltd.",3/12/1994
Chaos Control,PlayStation,0,Virgin Interactive,Infogrames,4/10/1996
Vagrant Story,PlayStation,0.87,Square EA,SquareSoft,15/05/2000
Boys Be... 2nd Season,PlayStation,0,Kodansha,Kodansha,22/09/1999
Bakuretsu Hunter: Mahjong Special,PlayStation,0,Banpresto,Banpresto,25/10/1996
Hissatsu Pachi-Slot Station 3,PlayStation,0,Sunsoft,SunSoft,4/3/2000
TigerShark,PlayStation,0.07,GT Interactive,n-Space,31/03/1997
World of Dragon Warrior - Torneko: The Last Hope,PlayStation,0.65,Enix,ChunSoft,15/11/2000
Kids Station: Kamen Rider Heroes,PlayStation,0,Bandai,Bandai,18/07/2002
Marie no Atelier: Salburg no Renkinjutsushi,PlayStation,0.25,Gust,Gust,23/05/1997
Evil Zone,PlayStation,0.25,Titus,Yuke's Future Media Creators,1/6/1999
Mass Destruction,PlayStation,0.11,ASC Games,NMS Software,30/09/1997
SD Gundam G Generation-F.I.F,PlayStation,0.12,Bandai,Bandai,2/5/2001
Harukanaru Toki no Naka de: Banjyou Yuugi,PlayStation,0,KOEI,Koei,26/06/2003
Kaishin!! Derby Analyst,PlayStation,0,Media Entertainment,Media Entertainment,21/12/2000
Gex: Enter The Gecko,PlayStation,0.58,Midway Games,Crystal Dynamics,31/01/1998
Eberouge,PlayStation,0,Takara,Fujitsu,30/05/1997
Forsaken,PlayStation,0.24,Acclaim Entertainment,Probe Entertainment Limited,30/04/1998
Motor Toon Grand Prix,PlayStation,0,Sony Computer Entertainment,Sony Computer Entertainment Japan,31/10/1996
Power Shovel,PlayStation,0.06,Acclaim Entertainment,Taito Corporation,19/07/2001
Expendable,PlayStation,0.05,Infogrames,Rage Software,22/04/2000
Super Robot Taisen ?,PlayStation,0.8,Banpresto,Banpresto,25/05/2000
LEGO Island 2: The Brickster's Revenge,PlayStation,0.18,LEGO Media,Silicon Dreams,1/3/2001
Dai-2-Ji Super Robot Taisen,PlayStation,0,Banpresto,Banpresto,2/12/1999
WCW Mayhem,PlayStation,1.22,Electronic Arts,Kodiak Interactive,22/09/1999
Mitsumete Knight R,PlayStation,0,Konami,Konami Computer Entertainment Shinjuku,26/11/1998
Actua Soccer: Club Edition,PlayStation,0,Gremlin Interactive Ltd,Gremlin Interactive,1/5/1997
Beast Wars: Transformers,PlayStation,0,Hasbro Interactive,Hasbro Interactive,5/12/1997
Egypt 1156 B.C.: Tomb of the Pharaoh,PlayStation,0,Canal+ Multimedia,Cryo Interactive,1/1/2000
Culdcept Expansion,PlayStation,0,Media Factory,Media Factory,1/5/1999
Point Blank,PlayStation,0.34,Namco,Namco,30/04/1998
Light Fantasy Gaiden: Nyanyan ga Nyan,PlayStation,0,Tonkin House,Tonkin House,21/10/1999
Backgainer: Kakusei-hen "Gainer Tensei",PlayStation,0,Ving,Ving,25/06/1998
R?MJ: The Mystery Hospital,PlayStation,0,Bandai,Bandai,27/11/1997
Turnabout,PlayStation,0,Natsume,ArtDink,1/5/2003
Ridge Racer Revolution,PlayStation,1.07,Namco,Namco,30/09/1996
Black/Matrix Cross,PlayStation,0,NEC Interchannel,Flight-Plan,14/12/2000
Critical Depth,PlayStation,0.23,GT Interactive,SingleTrac,31/10/1997
Vanishing Point,PlayStation,0.1,Acclaim Entertainment,Clockwork Games,5/2/2001
Mega Man Legends 2,PlayStation,0.42,Capcom,Capcom,24/10/2000
Bass Hunter,PlayStation,0,Unknown,Jack of All Games,
Rescue 24 Hours,PlayStation,0,Unknown,CS,14/03/1997
The Uranai 5,PlayStation,0,Visit,Visit,30/11/2000
Tenchu: Stealth Assassins,PlayStation,1.99,Activision,Acquire,31/08/1998
Aqua Paradise: Boku no Suizokukan,PlayStation,0,Victor Interactive,Victor Interactive,28/12/2000
Vampire Hunter D,PlayStation,0,Jaleco,Victor Interactive Software,25/09/2000
Caesars Palace,PlayStation,0,Interplay,Interplay,31/10/1997
Ojyousama Express,PlayStation,0.06,Media Works,MediaWorks,30/07/1998
Hissatsu Pachinko Station 4,PlayStation,0,Sunsoft,SunSoft,11/3/1999
Silent Mobius - Case: Titanic,PlayStation,0,Gainax Network Systems,Gainax,8/10/1998
'99 Koshien,PlayStation,0,Magical Company,Magical Company,17/06/1999
Wild ARMs,PlayStation,0.95,Sony Computer Entertainment,Media.Vision,30/04/1997
The Grinch,PlayStation,0.52,Konami,Artificial Mind and Movement,1/1/2000
Worms World Party,PlayStation,0,Ubisoft,Team17 Software,14/12/2001
R4: Ridge Racer Type 4,PlayStation,2.06,Namco,Namco,4/5/1999
Hissatsu Pachinko Station Now 3,PlayStation,0,Sunsoft,SunSoft,3/2/2000
Magical Medical,PlayStation,0,Konami,Konami,10/9/1998
Winning Post 4,PlayStation,0.15,KOEI,Koei/Inis,18/09/1999
Break Point,PlayStation,0,Ocean,Smart Dog,1/12/1996
Battle Arena Toshinden 3,PlayStation,0.27,Playmates,Takara,31/03/1997
Johnny Bazookatone,PlayStation,0.05,U.S. Gold,Arc Developments,1/1/1996
Parlor! Pro Collection,PlayStation,0,Namco,Namco,21/09/2000
Shin Nippon Pro Wrestling: Toukon Retsuden 3,PlayStation,0.23,Tomy Corporation,Yuke's Media Creations,26/03/1998
You Don't Know Jack,PlayStation,0.4,Sierra Entertainment,"Starsphere Interactive, Inc.",20/09/1999
Doraemon: Nobitaito Fukkatsu no Hoshi,PlayStation,0,Epoch,Epoch,16/02/1996
Mortal Kombat 4,PlayStation,1.46,Midway Games,Eurocom Entertainment Software,24/06/1998
Gakkou o Tsukurou!! 2,PlayStation,0,Victor Interactive,Groove Box Japan,10/12/1998
Risk,PlayStation,0,Hasbro Interactive,Runecraft,31/05/1998
Pinobee,PlayStation,0,Konami,Artoon,17/04/2003
Sexy Parodius,PlayStation,0,Konami,Konami,1/11/1996
Transformers: Beast Wars Transmetals,PlayStation,0.11,BAM! Entertainment,Takara,15/03/2000
Tear Ring Saga Yutona Eiyuu Senki,PlayStation,0.39,Enterbrain,ASCII Entertainment / Tirnanog,24/05/2001
Walt Disney's The Jungle Book: Rhythm N'Groove,PlayStation,0.09,Ubisoft,Ubisoft,8/12/2000
Zeus II: Carnage Heart,PlayStation,0,ArtDink,ArtDink,7/10/1999
Harry Potter and the Chamber of Secrets,PlayStation,1.98,Electronic Arts,Argonaut Games,14/11/2002
Waku Waku Volley,PlayStation,0,Athena,Athena,26/11/1998
NASCAR Racing,PlayStation,0.41,Sierra Entertainment,Papyrus,30/09/1996
No One Can Stop Mr. Domino!,PlayStation,0.08,Acclaim Entertainment,ArtDink,31/10/1998
Countdown Vampires,PlayStation,0.04,Bandai,K2 LLC,21/08/2000
Wing Over,PlayStation,0,JVC,BELUGA Computer Inc.,1/10/1997
Genghis Khan: Aoki Ookami to Shiroki Meshika IV,PlayStation,0,KOEI,iNiS,25/02/1999
WWF Attitude,PlayStation,1.76,Acclaim Entertainment,Acclaim Entertainment,31/07/1999
Alice in Cyberland,PlayStation,0,Glams,Glams,20/12/1996
Wizard's Harmony,PlayStation,0,Arc System Works,Arc System Works,29/12/1995
Blasto,PlayStation,0.35,Sony Computer Entertainment,Unknown,1/4/1998
Shooter: Space Shot,PlayStation,0,Agetec,C.I.I.,1/1/2001
Konohana: True Report,PlayStation,0,Success,Vridge,26/04/2001
Nobunaga no Yabou: Haouden,PlayStation,0,KOEI,Koei,15/09/1995
Riven: The Sequel to Myst,PlayStation,0.32,Acclaim Entertainment,SunSoft,30/11/1997
Angolmois '99,PlayStation,0,Success,Success,26/08/1999
Road Rash: Jailbreak,PlayStation,0.4,Electronic Arts,Electronic Arts,31/12/1999
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PlayStation,0.55,D3 Publisher,Taito Corporation,27/09/2001
BeatMania (PAL),PlayStation,0,Konami,Konami,16/06/2001
Classic Road,PlayStation,0.07,Victor Interactive,Victor Interactive,15/12/1995
True Love Story: Remember My Heart,PlayStation,0,ASCII Entertainment,Bits Laboratory,11/12/1997
Street Racer,PlayStation,0.16,Ubisoft,Vivid Image,31/10/1996
Ark of Time,PlayStation,0,Project Two Interactive,ICE,1/7/1998
Peak Performance,PlayStation,0.03,Atlus,Cave,31/03/1997
Jet Moto,PlayStation,1.83,Sony Computer Entertainment,SingleTrac,31/10/1996
Simple 1500 Jitsuyou Series Vol. 8: 1-Jikan de Wakaru Kabushiki Toushi,PlayStation,0,D3 Publisher,Game Stage,26/07/2001
Ring of Sias,PlayStation,0,Athena,Athena,12/4/1996
Dragon Ball Z: Idainaru Dragon Ball Densetsu,PlayStation,0.19,Bandai,TOSE,31/05/1996
N-Gauge Unten Kibun Game: Gatan Goton,PlayStation,0,Toshiba EMI,Tomy,11/3/1999
Darkstalkers 3,PlayStation,0.19,Capcom,Capcom,30/11/1998
Atari Anniversary Edition Redux,PlayStation,0.18,Infogrames,Digital Eclipse,1/1/2001
Koh 2: Shogun,PlayStation,0,ASK,ASK Corporation,26/10/2000
Yaku: Yuujou Dangi,PlayStation,0,Idea Factory,Idea Factory,13/01/1996
NCAA Football 2000,PlayStation,0.95,EA Sports,EA Sports,30/06/1999
Rayman 2: The Great Escape,PlayStation,0.32,Ubisoft,Ubisoft Shanghai,15/09/2000
CyberTiger,PlayStation,0.59,Electronic Arts,EA Redwood Shores,30/09/1999
Devil Summoner: Soul Hackers,PlayStation,0.15,Atlus,Atlus Co.,8/4/1999
Mortal Kombat II,PlayStation,0,Acclaim Entertainment,Probe Entertainment Limited,2/8/1996
Thrasher Presents: Skate and Destroy,PlayStation,0.39,Rockstar Games,Z-Axis,31/10/1999
Nightmare Creatures,PlayStation,0.63,Activision,Kalisto Entertainment,1/10/1997
California Surfing,PlayStation,0,Midas Interactive Entertainment,Midas Interactive Entertainment,7/2/2003
Time Crisis: Project Titan,PlayStation,0.05,Namco,Flying Tiger Entertainment,20/06/2001
Vandal Hearts II,PlayStation,0.1,Konami,Konami,30/11/1999
Muppet RaceMania,PlayStation,0.15,Midway Games,Traveller's Tales,3/10/2000
Burning Road,PlayStation,0.12,Playmates,Toka,12/11/1996
Kunoichi Torimonochou,PlayStation,0,GMF,GMF,25/02/1999
Disney's The Lion King: Simba's Mighty Adventure,PlayStation,0.15,Activision,Paradox Development,22/12/2000
NBA Live 99,PlayStation,1.22,EA Sports,NuFX,31/10/1998
Card II,PlayStation,0,Success,Success,22/09/1999
Simple Characters 2000 Series Vol. 02: Afro Inu: The Puzzle,PlayStation,0,Bandai,Bam Entertainment,25/10/2001
10101: "Will" the Starship,PlayStation,0,Sound Technology,Sound Technology,6/11/1997
Simple 1500 Series Vol. 3: The GoMoku Narabe,PlayStation,0,Chat Noir,Itsui,22/10/1998
Darklight Conflict,PlayStation,0.04,Electronic Arts,Rage Software,30/06/1997
Shooter: Starfighter Sanvein,PlayStation,0.02,A1 Games,Success,28/02/2001
FEDA 2: White Surge the Platoon,PlayStation,0,Yanoman,Max Entertainment,18/04/1997
All-Star Racing 2,PlayStation,0,Mud Duck Productions,Mud Duck,24/04/2003
Akagawa Jirou: Yasoukyoku,PlayStation,0,Victor Interactive,Open Sesame,16/07/1998
Cool Boarders 2,PlayStation,2.25,Sony Computer Entertainment,UEP Systems,31/10/1997
Simple 1500 Series Vol. 46: The Mahjong Ochi Chige,PlayStation,0,D3 Publisher,Enterbrain,16/11/2000
Robo Pit,PlayStation,0.03,THQ,Altron Corporation,1/1/1996
King's Field,PlayStation,0.16,ASCII Entertainment,From Software,31/12/1995
Kurushi Final: Mental Blocks,PlayStation,0.34,Sony Computer Entertainment,SCEI,1/8/1999
Another Memories,PlayStation,0,Hearty Robin,Unknown,18/06/1998
Dragon Money,PlayStation,0,Micro Cabin,E.O. Imagination,4/5/1999
Final Fantasy Chronicles,PlayStation,0.52,Square,TOSE,29/06/2001
Simple 1500 Series Vol. 84: The Intro Quiz,PlayStation,0,D3 Publisher,AMS,31/01/2002
Dangan,PlayStation,0,KSS,Mediamuse,24/02/2000
D,PlayStation,0.11,Acclaim Entertainment,Warp,1/1/1996
Crime Crackers 2,PlayStation,0,Sony Computer Entertainment,Media.Vision,27/11/1997
Army Men: Sarge's Heroes,PlayStation,0.56,3DO,3DO,1/1/2000
Army Men: Air Attack,PlayStation,0.85,3DO,3DO,2/11/1999
Gamera 2000,PlayStation,0,Virgin Interactive,Digital Frontier,25/04/1997
Wild 9,PlayStation,0.24,Interplay,Shiny Entertainment,30/09/1998
Medal of Honor,PlayStation,2.67,Electronic Arts,DreamWorks Interactive,11/11/1999
Simple 1500 Jitsuyou Series Vol. 17: Planetarium,PlayStation,0,D3 Publisher,Highwaystar,18/04/2002
Jupiter Strike,PlayStation,0.11,Acclaim Entertainment,Taito Corporation,1/1/1995
K-1 Revenge,PlayStation,0.24,Jaleco,Xing Entertainment,28/02/1999
Eikou no St Andrews Old Course,PlayStation,0,Shogakukan,Shogakukan Production,28/08/1997
3D Lemmings,PlayStation,0.06,Psygnosis,Clockwork Games,1/11/1995
ATV: Quad Power Racing,PlayStation,1.04,Acclaim Entertainment,Climax Group,23/08/2000
Ninku,PlayStation,0,Tomy Corporation,Tomy Corporation,22/12/1995
Twilight Syndrome Saikai,PlayStation,0,Spike,Spike,27/07/2000
NFL Xtreme,PlayStation,0.69,Sony Computer Entertainment,989 Sports,30/06/1998
BeatMania: The Sound of Tokyo! -produced by KONISHI yasuharu-,PlayStation,0,Konami,Konami,29/03/2001
Real Bout Fatal Fury,PlayStation,0,Sony Computer Entertainment,SNK Corporation,1/8/1997
Constructor,PlayStation,0,Acclaim Entertainment,Acclaim Entertainment,1/1/1998
Kurushi Final: Mental Blocks,PlayStation,0.32,Sony Computer Entertainment,Sony Computer Entertainment,1/8/1999
Tokimeki Memorial: Taisen Tokkaedama,PlayStation,0,Konami,Konami,19/06/1997
Bakusou Dekotora Densetsu 2,PlayStation,0,Spike,Spike,16/12/1999
Santa Claus Saves the Earth,PlayStation,0,Unknown,Ivolgamus UAB,
Doki Doki Pretty League,PlayStation,0,Xing Entertainment,Xing Entertainment,28/03/1997
SimCity 2000,PlayStation,1.22,Maxis,Maxis,9/7/1996
Blast Radius,PlayStation,0.07,Psygnosis,Pitbull Syndicate,24/02/1999
DX Jinsei Game IV,PlayStation,0,Takara,Takara,29/11/2001
TwinBee Taisen Puzzle Dama,PlayStation,0,Konami,Konami,9/12/1994
Mobile Suit Z-Gundam,PlayStation,0.36,Bandai,Bandai,11/12/1997
Batman: Gotham City Racer,PlayStation,0.05,Ubisoft,Sinister Games,19/04/2001
Pacapaca Passion Special,PlayStation,0,CyberFront,Produce!,4/4/2002
NHL FaceOff 2000,PlayStation,0.31,989 Studios,SolWorks,31/08/1999
Tom Clancy's Rainbow Six: Rogue Spear,PlayStation,0.23,Red Storm Entertainment,Saffire Corporation,28/03/2001
The Bombing Islands,PlayStation,0.14,Kemco,Kemco,26/04/2001
K-1: The Arena Fighters,PlayStation,0,THQ,Daft,28/02/1997
Naniwa Wangan Battle,PlayStation,0,Medioza,Medioza,26/03/1998
Pachi-Slot Aruze Oukoku 4,PlayStation,0.53,Aruze Corp,Aruze Corp,14/12/2000
Tempest 3X,PlayStation,0.08,Interplay,High Voltage Software,1/1/1996
Pizza Hut Demo Disc Two,PlayStation,0,Sony Computer Entertainment,Various,1/1/1999
The King of Fighters Kyo,PlayStation,0.04,SNK,SNK Corporation,27/08/1998
3D Shooting Tsukuru,PlayStation,0,ASCII Entertainment,ASCII Entertainment,20/12/1996
